disease,n_in_window,n_promoted,n_demoted,n_unchanged,promo_rate,demo_rate,net,net_rate,mean_promo_delta,mean_demo_delta
"Mitochondrial complex IV deficiency, nuclear type 2",28,0,0,28,0.0,0.0,0,0.0,0,0
"Contractural arachnodactyly, congenital",13,0,0,13,0.0,0.0,0,0.0,0,0
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",41,0,0,41,0.0,0.0,0,0.0,0,0
"Anemia, sideroblastic, and spinocerebellar ataxia",18,0,0,18,0.0,0.0,0,0.0,0,0
MHC class II deficiency 2,15,0,0,15,0.0,0.0,0,0.0,0,0
"Lipodystrophy, familial partial, type 2",126,0,0,126,0.0,0.0,0,0.0,0,0
Ullrich congenital muscular dystrophy 1B,7,0,0,7,0.0,0.0,0,0.0,0,0
"Myopathy, distal, Tateyama type",6,0,0,6,0.0,0.0,0,0.0,0,0
Ullrich congenital muscular dystrophy 1C,5,0,0,5,0.0,0.0,0,0.0,0,0
LEOPARD syndrome 1,25,0,0,25,0.0,0.0,0,0.0,0,0
Bamforth-Lazarus syndrome,7,0,0,7,0.0,0.0,0,0.0,0,0
"Hemophagocytic lymphohistiocytosis, familial, 2",3,0,0,3,0.0,0.0,0,0.0,0,0
Sick sinus syndrome 2,6,0,0,6,0.0,0.0,0,0.0,0,0
Lathosterolosis,3,0,0,3,0.0,0.0,0,0.0,0,0
"Tubulointerstitial kidney disease, autosomal dominant, 1",73,0,0,73,0.0,0.0,0,0.0,0,0
Cone-rod dystrophy 13,20,0,0,20,0.0,0.0,0,0.0,0,0
DiGeorge syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Prolonged electroretinal response suppression 2,5,0,0,5,0.0,0.0,0,0.0,0,0
Prolonged electroretinal response suppression 1,5,0,0,5,0.0,0.0,0,0.0,0,0
"Maple syrup urine disease, type Ib",3,0,0,3,0.0,0.0,0,0.0,0,0
"Encephalopathy, porphyria-related",3,0,0,3,0.0,0.0,0,0.0,0,0
"Congenital disorder of glycosylation, type Il",6,0,0,6,0.0,0.0,0,0.0,0,0
Treacher Collins syndrome 1,4,0,0,4,0.0,0.0,0,0.0,0,0
"Spastic paraplegia 10, autosomal dominant",5,0,0,5,0.0,0.0,0,0.0,0,0
Myoclonic epilepsy of Lafora 2,21,0,0,21,0.0,0.0,0,0.0,0,0
Bardet-Biedl syndrome 4,3,0,0,3,0.0,0.0,0,0.0,0,0
Loeys-Dietz syndrome 2,40,0,0,40,0.0,0.0,0,0.0,0,0
"Robinow syndrome, autosomal recessive",32,0,0,32,0.0,0.0,0,0.0,0,0
"Epidermolytic hyperkeratosis 2B, autosomal recessive",4,0,0,4,0.0,0.0,0,0.0,0,0
Pitt-Hopkins like syndrome 1,44,0,0,44,0.0,0.0,0,0.0,0,0
"Simpson-Golabi-Behmel syndrome, type 2",3,0,0,3,0.0,0.0,0,0.0,0,0
"Cockayne syndrome, type A",10,0,0,10,0.0,0.0,0,0.0,0,0
Mitochondrial DNA depletion syndrome 6 (hepatocerebral type),57,0,0,57,0.0,0.0,0,0.0,0,0
"Nephrotic syndrome, type 5, with or without ocular abnormalities",10,0,0,10,0.0,0.0,0,0.0,0,0
"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia",48,0,0,48,0.0,0.0,0,0.0,0,0
Noonan syndrome 3,7,0,0,7,0.0,0.0,0,0.0,0,0
"Ichthyosis, congenital, autosomal recessive 11",4,0,0,4,0.0,0.0,0,0.0,0,0
"Congenital disorder of glycosylation, type IIh",4,0,0,4,0.0,0.0,0,0.0,0,0
Cornelia de Lange syndrome 3,3,0,0,3,0.0,0.0,0,0.0,0,0
Leber congenital amaurosis 6,71,0,0,71,0.0,0.0,0,0.0,0,0
"Spastic paraplegia 7, autosomal recessive",3,0,0,3,0.0,0.0,0,0.0,0,0
Bethlem myopathy 1A,4,0,0,4,0.0,0.0,0,0.0,0,0
Hutchinson-Gilford progeria,6,0,0,6,0.0,0.0,0,0.0,0,0
STAR syndrome,6,0,0,6,0.0,0.0,0,0.0,0,0
Larsen syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Branchiooculofacial syndrome,7,0,0,7,0.0,0.0,0,0.0,0,0
"Parkinson disease 15, autosomal recessive",12,0,0,12,0.0,0.0,0,0.0,0,0
LMNA-related congenital muscular dystrophy,15,0,0,15,0.0,0.0,0,0.0,0,0
"Hyper-IgE syndrome 2, autosomal recessive, with recurrent infections",13,0,0,13,0.0,0.0,0,0.0,0,0
Spinocerebellar ataxia 15,25,0,0,25,0.0,0.0,0,0.0,0,0
Craniometaphyseal dysplasia,6,0,0,6,0.0,0.0,0,0.0,0,0
Cornelia de Lange syndrome 1,60,0,0,60,0.0,0.0,0,0.0,0,0
Stiff skin syndrome,8,0,0,8,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 5,10,0,0,10,0.0,0.0,0,0.0,0,0
Bardet-Biedl syndrome 2,4,0,0,4,0.0,0.0,0,0.0,0,0
Van den Ende-Gupta syndrome,6,0,0,6,0.0,0.0,0,0.0,0,0
Marfan lipodystrophy syndrome,9,0,0,9,0.0,0.0,0,0.0,0,0
Treacher Collins syndrome 2,9,0,0,9,0.0,0.0,0,0.0,0,0
Loeys-Dietz syndrome 3,36,0,0,36,0.0,0.0,0,0.0,0,0
"Cutis laxa, autosomal recessive, type IIB",6,0,0,6,0.0,0.0,0,0.0,0,0
"Immunodeficiency, common variable, 13",5,0,0,5,0.0,0.0,0,0.0,0,0
Acromicric dysplasia,13,0,0,13,0.0,0.0,0,0.0,0,0
Geleophysic dysplasia 2,19,0,0,19,0.0,0.0,0,0.0,0,0
Myhre syndrome,12,0,0,12,0.0,0.0,0,0.0,0,0
MHC class II deficiency 4,4,0,0,4,0.0,0.0,0,0.0,0,0
"Polydactyly, postaxial, types A1 and B",6,0,0,6,0.0,0.0,0,0.0,0,0
"Amyloidosis, hereditary systemic 6",3,0,0,3,0.0,0.0,0,0.0,0,0
"Microcephaly, short stature, and polymicrogyria with seizures",5,0,0,5,0.0,0.0,0,0.0,0,0
Branched-chain keto acid dehydrogenase kinase deficiency,6,0,0,6,0.0,0.0,0,0.0,0,0
"Ectodermal dysplasia 9, hair/nail type",6,0,0,6,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 14,8,0,0,8,0.0,0.0,0,0.0,0,0
Vici syndrome,17,0,0,17,0.0,0.0,0,0.0,0,0
Opsismodysplasia,9,0,0,9,0.0,0.0,0,0.0,0,0
Auriculocondylar syndrome 2B,5,0,0,5,0.0,0.0,0,0.0,0,0
Congenital myopathy 23,8,0,0,8,0.0,0.0,0,0.0,0,0
Long QT syndrome 14,4,0,0,4,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 112,15,0,0,15,0.0,0.0,0,0.0,0,0
"Ehlers-Danlos syndrome, spondylodysplastic type, 2",4,0,0,4,0.0,0.0,0,0.0,0,0
"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",7,0,0,7,0.0,0.0,0,0.0,0,0
"Congenital heart defects, multiple types, 8, with or without heterotaxy",5,0,0,5,0.0,0.0,0,0.0,0,0
Orofaciodigital syndrome V,8,0,0,8,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with epilepsy and hemochromatosis,6,0,0,6,0.0,0.0,0,0.0,0,0
Coffin-Siris syndrome 3,13,0,0,13,0.0,0.0,0,0.0,0,0
Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type),85,0,0,85,0.0,0.0,0,0.0,0,0
"Neuronopathy, distal hereditary motor, autosomal recessive 10",7,0,0,7,0.0,0.0,0,0.0,0,0
Boucher-Neuhauser syndrome,10,0,0,10,0.0,0.0,0,0.0,0,0
"Spinocerebellar ataxia, autosomal recessive 12",6,0,0,6,0.0,0.0,0,0.0,0,0
Centronuclear myopathy 1,4,0,0,4,0.0,0.0,0,0.0,0,0
Donohue syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, X-linked 112",17,0,0,17,0.0,0.0,0,0.0,0,0
Pallister-Hall syndrome,20,0,0,20,0.0,0.0,0,0.0,0,0
Xia-Gibbs syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Luscan-Lumish syndrome,11,0,0,11,0.0,0.0,0,0.0,0,0
Cleidocranial dysplasia,8,0,0,8,0.0,0.0,0,0.0,0,0
"Corneal dystrophy, Fuchs endothelial, 4",3,0,0,3,0.0,0.0,0,0.0,0,0
Acromelic frontonasal dysostosis,9,0,0,9,0.0,0.0,0,0.0,0,0
Immunodeficiency 112,3,0,0,3,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 28,27,0,0,27,0.0,0.0,0,0.0,0,0
"Spinocerebellar ataxia, autosomal recessive 20",8,0,0,8,0.0,0.0,0,0.0,0,0
Oliver-McFarlane syndrome,7,0,0,7,0.0,0.0,0,0.0,0,0
Thrombocytopenia 3,7,0,0,7,0.0,0.0,0,0.0,0,0
Multiple mitochondrial dysfunctions syndrome 4,10,0,0,10,0.0,0.0,0,0.0,0,0
Pseudohypoparathyroidism Ia,65,0,0,65,0.0,0.0,0,0.0,0,0
Pseudopseudohypoparathyroidism,7,0,0,7,0.0,0.0,0,0.0,0,0
CODAS syndrome,8,0,0,8,0.0,0.0,0,0.0,0,0
"Robinow syndrome, autosomal dominant 2",16,0,0,16,0.0,0.0,0,0.0,0,0
Loeys-Dietz syndrome 5,21,0,0,21,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy",3,0,0,3,0.0,0.0,0,0.0,0,0
"Glaucoma 1, open angle, H",5,0,0,5,0.0,0.0,0,0.0,0,0
Loeys-Dietz syndrome 6,17,0,0,17,0.0,0.0,0,0.0,0,0
"Diarrhea 8, secretory sodium, congenital",7,0,0,7,0.0,0.0,0,0.0,0,0
Noonan syndrome 6,14,0,0,14,0.0,0.0,0,0.0,0,0
"Homocystinuria, B6-responsive and nonresponsive types",4,0,0,4,0.0,0.0,0,0.0,0,0
"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",15,0,0,15,0.0,0.0,0,0.0,0,0
"Congenital disorder of glycosylation, type Iip",7,0,0,7,0.0,0.0,0,0.0,0,0
Retinitis pigmentosa 76,3,0,0,3,0.0,0.0,0,0.0,0,0
"Osteogenesis imperfecta, type XIV",3,0,0,3,0.0,0.0,0,0.0,0,0
"Parkinson disease 23, autosomal recessive, early onset",4,0,0,4,0.0,0.0,0,0.0,0,0
"Cutis laxa, autosomal recessive, type IIC",6,0,0,6,0.0,0.0,0,0.0,0,0
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 3",39,0,0,39,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",13,0,0,13,0.0,0.0,0,0.0,0,0
Gillespie syndrome,30,0,0,30,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,7,0,0,7,0.0,0.0,0,0.0,0,0
"Spastic paraplegia 76, autosomal recessive",14,0,0,14,0.0,0.0,0,0.0,0,0
"Microcephaly 5, primary, autosomal recessive",8,0,0,8,0.0,0.0,0,0.0,0,0
Ataxia-pancytopenia syndrome,10,0,0,10,0.0,0.0,0,0.0,0,0
"Lipodystrophy, familial partial, type 8",3,0,0,3,0.0,0.0,0,0.0,0,0
"Tubulointerstitial kidney disease, autosomal dominant, 5",7,0,0,7,0.0,0.0,0,0.0,0,0
"Leukoencephalopathy, porphyria-related",4,0,0,4,0.0,0.0,0,0.0,0,0
"Glutaricaciduria, type I",7,0,0,7,0.0,0.0,0,0.0,0,0
Diamond-Blackfan anemia 1,9,0,0,9,0.0,0.0,0,0.0,0,0
Chitayat syndrome,6,0,0,6,0.0,0.0,0,0.0,0,0
"Muscular dystrophy, limb-girdle, autosomal recessive 21",4,0,0,4,0.0,0.0,0,0.0,0,0
"Arthrogryposis, distal, with impaired proprioception and touch",10,0,0,10,0.0,0.0,0,0.0,0,0
Intellectual developmental disorder with dysmorphic facies and ptosis,10,0,0,10,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies",14,0,0,14,0.0,0.0,0,0.0,0,0
"Leukodystrophy, hypomyelinating, 27",4,0,0,4,0.0,0.0,0,0.0,0,0
"Cutis laxa, autosomal recessive, type IID",3,0,0,3,0.0,0.0,0,0.0,0,0
Arrhythmogenic cardiomyopathy with variable ectodermal abnormalities,12,0,0,12,0.0,0.0,0,0.0,0,0
Immunoskeletal dysplasia with neurodevelopmental abnormalitie,13,0,0,13,0.0,0.0,0,0.0,0,0
Stankiewicz-Isidor syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Polymicrogyria with or without vascular-type EDS,5,0,0,5,0.0,0.0,0,0.0,0,0
Retinitis pigmentosa with or without skeletal anomalies,8,0,0,8,0.0,0.0,0,0.0,0,0
Noonan syndrome-11,3,0,0,3,0.0,0.0,0,0.0,0,0
Structural heart defects and renal anomalies syndrome,6,0,0,6,0.0,0.0,0,0.0,0,0
"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",29,0,0,29,0.0,0.0,0,0.0,0,0
"Nephrotic syndrome, type 1",3,0,0,3,0.0,0.0,0,0.0,0,0
Hoxha-Aliu syndrome,5,0,0,5,0.0,0.0,0,0.0,0,0
Joubert syndrome 30,11,0,0,11,0.0,0.0,0,0.0,0,0
Skraban-Deardorff syndrome,15,0,0,15,0.0,0.0,0,0.0,0,0
"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",3,0,0,3,0.0,0.0,0,0.0,0,0
"Immunodeficiency, common variable, 15",10,0,0,10,0.0,0.0,0,0.0,0,0
"Rett syndrome, congenital variant",4,0,0,4,0.0,0.0,0,0.0,0,0
Al Kaissi syndrome,9,0,0,9,0.0,0.0,0,0.0,0,0
Developmental delay with or without epilepsy,13,0,0,13,0.0,0.0,0,0.0,0,0
Desmosterolosis,10,0,0,10,0.0,0.0,0,0.0,0,0
Tuberous sclerosis-1,5,0,0,5,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features",7,0,0,7,0.0,0.0,0,0.0,0,0
Cornelia de Lange syndrome 6,15,0,0,15,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism",5,0,0,5,0.0,0.0,0,0.0,0,0
"Ehlers-Danlos syndrome, classic-like, 2",5,0,0,5,0.0,0.0,0,0.0,0,0
"Cortical dysplasia, complex, with other brain malformations 14A, (bilateral frontoparietal)",3,0,0,3,0.0,0.0,0,0.0,0,0
Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,27,0,0,27,0.0,0.0,0,0.0,0,0
MHC class II deficiency 3,8,0,0,8,0.0,0.0,0,0.0,0,0
"Thrombocytopenia 13, syndromic",10,0,0,10,0.0,0.0,0,0.0,0,0
"Thrombocytopenia 8, with dysmorphic features and developmental delay",7,0,0,7,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities",4,0,0,4,0.0,0.0,0,0.0,0,0
Megalencephaly-polydactyly syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with or without variable brain abnormalities,10,0,0,10,0.0,0.0,0,0.0,0,0
"Neuropathy, hereditary sensory and autonomic, type IIB",4,0,0,4,0.0,0.0,0,0.0,0,0
Bardet-Biedl syndrome 5,4,0,0,4,0.0,0.0,0,0.0,0,0
Premature ovarian failure 23,4,0,0,4,0.0,0.0,0,0.0,0,0
Glass syndrome,5,0,0,5,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal dominant 21",38,0,0,38,0.0,0.0,0,0.0,0,0
"Neuronopathy, distal hereditary motor, autosomal dominant 11",13,0,0,13,0.0,0.0,0,0.0,0,0
Immunodeficiency 120,4,0,0,4,0.0,0.0,0,0.0,0,0
Spermatogenic failure 91,4,0,0,4,0.0,0.0,0,0.0,0,0
"Cardiac, facial, and digital anomalies with developmental delay",21,0,0,21,0.0,0.0,0,0.0,0,0
Rabin-Pappas syndrome,9,0,0,9,0.0,0.0,0,0.0,0,0
Alfadhel syndrome,6,0,0,6,0.0,0.0,0,0.0,0,0
"Rhizomelic dysplasia, Ain-Naz type",6,0,0,6,0.0,0.0,0,0.0,0,0
Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies,5,0,0,5,0.0,0.0,0,0.0,0,0
Fliedner-Zweier syndrome,8,0,0,8,0.0,0.0,0,0.0,0,0
Microphthalmia/coloboma 11,14,0,0,14,0.0,0.0,0,0.0,0,0
"Autoinflammatory syndrome, familial, with or without immunodeficiency",8,0,0,8,0.0,0.0,0,0.0,0,0
"Epilepsy, early-onset, 3, with or without developmental delay",11,0,0,11,0.0,0.0,0,0.0,0,0
El Hayek-Chahrour neurodevelopmental syndrome,8,0,0,8,0.0,0.0,0,0.0,0,0
Proteasome-associated autoinflammatory syndrome 6,3,0,0,3,0.0,0.0,0,0.0,0,0
"Seizures, benign familial infantile, 3",5,0,0,5,0.0,0.0,0,0.0,0,0
"Generalized epilepsy with febrile seizures plus, type 12",4,0,0,4,0.0,0.0,0,0.0,0,0
"Developmental delay, dysmorphic facies, and brain anomalies",3,0,0,3,0.0,0.0,0,0.0,0,0
Spermatogenic failure 93,3,0,0,3,0.0,0.0,0,0.0,0,0
Autoinflammation with arthritis and vasculitis,4,0,0,4,0.0,0.0,0,0.0,0,0
ZTTK SYNDROME,20,0,0,20,0.0,0.0,0,0.0,0,0
Ovarian dysgenesis 11,3,0,0,3,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal recessive 81",10,0,0,10,0.0,0.0,0,0.0,0,0
"Spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia",22,0,0,22,0.0,0.0,0,0.0,0,0
Spinocerebellar ataxia 49,9,0,0,9,0.0,0.0,0,0.0,0,0
Combined oxidative phosphorylation deficiency 56,3,0,0,3,0.0,0.0,0,0.0,0,0
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8",4,0,0,4,0.0,0.0,0,0.0,0,0
Oculopharyngeal muscular dystrophy 2,11,0,0,11,0.0,0.0,0,0.0,0,0
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 6",5,0,0,5,0.0,0.0,0,0.0,0,0
"Bleeding disorder, vascular-type",3,0,0,3,0.0,0.0,0,0.0,0,0
"Cardiomyopathy, dilated, 2K",4,0,0,4,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal dominant 73",8,0,0,8,0.0,0.0,0,0.0,0,0
"Arthrogryposis, distal, type 12",5,0,0,5,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with impaired language, behavioral abnormalities, and dysmorphic facies",11,0,0,11,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with language impairment, autism, and attention deficit-hyperactivity disorder",9,0,0,9,0.0,0.0,0,0.0,0,0
"Autoimmune disease, multisystem, infantile-onset, 3",3,0,0,3,0.0,0.0,0,0.0,0,0
"Spastic ataxia 10, autosomal recessive",12,0,0,12,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 111,7,0,0,7,0.0,0.0,0,0.0,0,0
Developmental and epileptic encephalopathy 114,4,0,0,4,0.0,0.0,0,0.0,0,0
"Ciliary dyskinesia, primary, 52",4,0,0,4,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with language delay and variable cognitive abnormalities,4,0,0,4,0.0,0.0,0,0.0,0,0
"Autoinflammatory disease, systemic, with vasculitis",4,0,0,4,0.0,0.0,0,0.0,0,0
Aplasia cutis-enamel dysplasia syndrome,8,0,0,8,0.0,0.0,0,0.0,0,0
Polycystic kidney disease 8,13,0,0,13,0.0,0.0,0,0.0,0,0
"Dystonia 37, early-onset, with striatal lesions",3,0,0,3,0.0,0.0,0,0.0,0,0
Birt-Hogg-Dube syndrome 2,5,0,0,5,0.0,0.0,0,0.0,0,0
"Basal ganglia calcification, idiopathic, 10, autosomal recessive",3,0,0,3,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures",14,0,0,14,0.0,0.0,0,0.0,0,0
"Neuronopathy, distal hereditary motor, autosomal recessive 9",6,0,0,6,0.0,0.0,0,0.0,0,0
"Spherocytosis, type 4",7,0,0,7,0.0,0.0,0,0.0,0,0
"Immunodeficiency 114, folate-responsive",4,0,0,4,0.0,0.0,0,0.0,0,0
"Albinism, oculocutaneous, type IV",26,0,0,26,0.0,0.0,0,0.0,0,0
"Ciliary dyskinesia, primary, 53",3,0,0,3,0.0,0.0,0,0.0,0,0
"Muscular dystrophy, limb-girdle, autosomal recessive 28",14,0,0,14,0.0,0.0,0,0.0,0,0
Combined oxidative phosphorylation deficiency 58,7,0,0,7,0.0,0.0,0,0.0,0,0
"Neuromuscular disorder, congenital, with dysmorphic facies",10,0,0,10,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction",10,0,0,10,0.0,0.0,0,0.0,0,0
"Autoinflammatory disease, multisystem, with immune dysregulation, X-linked",9,0,0,9,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity",13,0,0,13,0.0,0.0,0,0.0,0,0
"Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities",15,0,0,15,0.0,0.0,0,0.0,0,0
"Rothmund-Thomson syndrome, type 4",7,0,0,7,0.0,0.0,0,0.0,0,0
"Acrofacial dysostosis, Cincinnati type",13,0,0,13,0.0,0.0,0,0.0,0,0
Combined oxidative phosphorylation deficiency 59,3,0,0,3,0.0,0.0,0,0.0,0,0
Tan-Almurshedi syndrome,4,0,0,4,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities,7,0,0,7,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal recessive 82",3,0,0,3,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal dominant 75",10,0,0,10,0.0,0.0,0,0.0,0,0
Orofaciodigital syndrome XX,5,0,0,5,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with hypotonia and characteristic brain abnormalities,15,0,0,15,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal dominant 74",12,0,0,12,0.0,0.0,0,0.0,0,0
Craniometadiaphyseal osteosclerosis with hip dysplasia,7,0,0,7,0.0,0.0,0,0.0,0,0
Xerosis and growth failure with immune and pulmonary dysfunction syndrome,4,0,0,4,0.0,0.0,0,0.0,0,0
Neurodegeneration with brain iron accumulation 9,5,0,0,5,0.0,0.0,0,0.0,0,0
"Congenital disorder of glycosylation, type IIbb",4,0,0,4,0.0,0.0,0,0.0,0,0
Houge-Janssen syndrome 2,3,0,0,3,0.0,0.0,0,0.0,0,0
"Immunodeficiency 118, mycobacteriosis",3,0,0,3,0.0,0.0,0,0.0,0,0
"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly",3,0,0,3,0.0,0.0,0,0.0,0,0
"Lipodystrophy, familial partial, type 9",7,0,0,7,0.0,0.0,0,0.0,0,0
Jeffries-Lakhani neurodevelopmental syndrome,18,0,0,18,0.0,0.0,0,0.0,0,0
Neurodevelopmental disorder with progressive movement abnormalities,39,0,0,39,0.0,0.0,0,0.0,0,0
"Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities",8,0,0,8,0.0,0.0,0,0.0,0,0
Polydactyly-macrocephaly syndrome,3,0,0,3,0.0,0.0,0,0.0,0,0
Seckel syndrome 11,4,0,0,4,0.0,0.0,0,0.0,0,0
"Pulmonary hypertension, primary, 6",4,0,0,4,0.0,0.0,0,0.0,0,0
